Can I Use an Easement That Abuts to My Property	 real
Banned from Costco Over Suspected Shoplifting	 criminal
What Happens if Somebody Sells You a Rented Television	 criminal
Does Purporting to Be Married Constitute Bigamy	 criminal
Sexting a Minor Who Responded to a Craigslist Personal Ad	 criminal
Statutory Rape and Child Pornography Charges	 criminal
Arrest for Drug Possession Without Knowing Drugs Are In the Car	 criminal
Is it a Crime to Expose an Online Account Holder's Real Name	 criminal
Can a Shoplifter Claim that a Store Made it Too Easy to Steal as a Defense	 criminal
Accused of Shoplifting at a Self-Checkout	 criminal
It is Legal for Neighbors to Place Cameras on the Property Line Pointed at Our House	 criminal
Injured by LPs During an Arrest for Shoplifting	 criminal
Soliciting a Minor on MeetMe	 criminal
Unlawfully Accessing a Computer and Deleting Files	 criminal
Should You Request a Court-Appointed Lawyer for a Shoplifting Charge	 criminal
Trespass Ban, Civil Demand and Possible Prosecution for Accidental Shoplifting	 criminal
Pulling a Knife on a Police Officer	 criminal
Perjury During an Anti-Harassment / Restraining Order Hearing	 criminal
Harassed by My Boyfriend's Ex-Girlfriend	 criminal
Can You Be Prosecuted for Shoplifting Even if a LP Says That You Won't Be	 criminal
Will Statutory Rape Charges be Filed if a Young Mother Goes to Juvenile Court	 criminal
What Weapons Can You Legally Obtain for Self-Defense Other Than a Gun	 criminal
Charges for Putting a Sedative Into a Woman's Drink	 criminal
Is Consent a Defense to Statutory Rape	 criminal
Selling a Stolen Vehicle	 criminal
Can eBay Sue You for Selling Stolen Merchandise	 criminal
Should Romeo and Juliet be Banned?	 criminal
Caught Shoplifting in Mervyns	 criminal
Accused of Theft by Former Employer, in Georgia	 criminal
MIP and Open Container in Georgia	 criminal
Selling Stolen Goods On The Internet	 criminal
Civil Demand Or Legal Extortion?	 criminal
Online Retail Fraud in Illinois	 criminal
WalMart Return Fraud	 criminal
Is an Unlawful Arrest Kidnapping	 criminal
WalMart Shoplifting	 criminal
Failure To Report A Crime	 criminal
Grand Theft Charge Over a Computer	 criminal
Caught Shoplifting Items At Target	 criminal
Burglary Charge At Girlfriend's House	 criminal
Shoplifting At Boscovs in New Jersey	 criminal
Alcohol Charge While Parked in a Parking Lot	 criminal
Fired For Retail Theft	 criminal
Caught Shoplifting, But Moving Out Of State	 criminal
Caught Shoplifting In New York	 criminal
Fraudulent Exchange	 criminal
Shoplifting At Walmart In California	 criminal
Internal Shoplifting	 criminal
Still Ashamed And Still Paying	 criminal
Innocent Mom	 criminal
18 Year Old With Child Pornography	 criminal
Being Charged With Battery Of A Minor In Indiana	 criminal
Caught Shoplifting at Kohls	 criminal
Firing a Pellet Gun at Duck	 criminal
I Am Accused of Posting Pictures of My Ex-Wife	 criminal
Shoplifting in Virginia	 criminal
Without Sexual Relations, is It Legal to Date Minors?	 criminal
Caught Shoplifting Florida 1st Offense	 criminal
Unknown Minor Chatting, No Meeting	 criminal
Son Charged With Statutory Rape	 criminal
2nd Degree Burglary and Felony 1st Time Offender	 criminal
Could My Boyfriend Go To Prison	 criminal
Month Since Incident, With No Word	 criminal
Chance of Prosecution for Minor Theft	 criminal
Officer Hacked Into AIM Acount	 criminal
Marijuana Possession, and Drug Paraphernalia Possession - What Are My Options	 criminal
Stealing Property Back from a Thief	 criminal
Public Disorderly Conduct	 criminal
When Can a Store Restrain a Customer for a Bag Check	 criminal
Got Caught Shoplifting but Never Had Anything Court Today	 criminal
Bogus Domestic Assault Charge	 criminal
Theft from Rite-Aid	 criminal
Called 911 and Got Arrested	 criminal
Getting Off the Sex Offenders Registry	 criminal
Burglary in the Second Degree by Minor	 criminal
Legitimate Medical Issues Can Work for Shoplifting Charge	 criminal
Why Do They Demand So Much Money in Civil Demand	 criminal
MIP California, 14 Year Old	 criminal
Obstruct Justice and Disorderly Conduct from a Traffic Citation	 criminal
Caught Shoplifting, Past Incident May Have Been Recorded by Security Cameras	 criminal
Shoplifting in Indiana	 criminal
Accused of Shoplifiting While on Probation	 criminal
Walmart shoplifiting by a minor	 criminal
Shoplifted at Kmart	 criminal
Caught Shoplifting - Misdemeanor 1st Offense	 criminal
Possesion of a knife	 criminal
Michigan Retail Fraud, Second Offense	 criminal
Have not received the letter	 criminal
Outcomes from Recent Cases	 criminal
Probable cause from a drug overdose	 criminal
Criminal fines for shoplifting	 criminal
Caught Shoplifting at Boscovs	 criminal
How To Convince A Friend To Stop Stealing	 criminal
Who Has Jurisdiction?	 criminal
Shoplifter Wants LP Job In Arkansas	 criminal
How Do I Get A Public Defender?	 criminal
Is It Kidnapping To Take A Sports Team To A Different Gym	 criminal
Husband Deals Drugs	 criminal
Caught Shoplifting in Belk in Georgia	 criminal
Allowing Teens to Have Sex in Home	 criminal
Caught on Camera but Not Detained	 criminal
Brother Accused Of Child Porn	 criminal
Getting Around the Law in a Different State	 criminal
Do Not Pay Corporations	 criminal
Will I Go to Jail for 2nd Degree Retail Fraud	 criminal
Previously Chaste Character	 criminal
Theft by Conversion	 criminal
Michigan Retail Fraud 2nd Degree First Offense	 criminal
Plea Bargain and Sentence for Accused Child Molester	 criminal
Going to Trial on Marijuana Charges	 criminal
Husband's Family Won't Return My Computer	 criminal
Woman Filed a False Report on Rape	 criminal
Evading Police in California	 criminal
What Can Be Considered a Threat	 criminal
I Was with My Friend when He Was Caught	 criminal
Can a Legally Criminally Insane Man Be Convicted of Murder	 criminal
What Are the Potential Charges in California	 criminal
If You're Caught Shoplifting on Video Surveillence, How Long Until the Police Come	 criminal
Physical Contact by Store Employee	 criminal
Can I Be Charged with Domestic Battery	 criminal
Will I Be Convicted or Not	 criminal
18-Year-Old Caught Shoplifting in NYC	 criminal
Car Searched After Stop for a Noise Violation	 criminal
Being Charged With Possession and Paraphernalia	 criminal
What is Rape	 criminal
Photographs of Classified Government "Stealth Craft"	 criminal
Possession of Marijuana in California Leads to Restricted License	 criminal
I Stole from Target and I Need to Know What Will Happen to Me	 criminal
Theft 3 in Washington State	 criminal
Can I Defend a Shoplifter Being Assaulted by Store Security	 criminal
Can I Be Charged with Trespassing for Being on a Residential Sidewalk	 criminal
My Wife and I Were Arrested After a Heated Argument	 criminal
Shoplifting at JC Penney	 criminal
Will Cops Knock on My Door if They Suspect Pot Plants Inside	 criminal
Employee Retail Theft	 criminal
Can an Accused Child Sex Offender Have Children	 criminal
Rights of a Minor and Public Information	 criminal
Unfair Search and Charges	 criminal
Is Repeated Honking Sexual Harassment	 criminal
Bar Fight Assault	 criminal
How to Enforce Do Not Call Laws	 criminal
Girlfriend Caught Shoplifting-Security Refusing to Return My Sweater	 criminal
Posting Surveillance Images	 criminal
Breaking and Entering and Destruction of Real Property	 criminal
Can a Store I Stole From Track Me Through My Debit Card	 criminal
Will a Shoplifting Incident Will Show Up on My Record or Background Checks	 criminal
Wrong Petit Larceny Charged	 criminal
Can a Minor Be Interviewed and Searched Without Police or Parent	 criminal
Stole From Walmart, but Didn't Stop for Loss Prevention Officer	 criminal
Minors Drinking in Condo While Owners Not Present	 criminal
Can You Still Be Punishsed for Violating a Restraining Order After it Expires	 criminal
Accusation of Sexual Contact with a Minor	 criminal
Adult Teenager Dating a Child	 criminal
Is California Penal Code 288a(B)(1) a Misdemeanor or Felony	 criminal
What Weapons Can a Felon Legally Carry in Michigan	 criminal
Simple Battery - False Charges	 criminal
Potential Assault With a Deadly Weapon Charges	 criminal
Can I Get in Trouble if a Minor Contacts Me Against her Parents Wishes	 criminal
Can an Adult Be Prosecuted for Getting a 17-Year-Old Pregnant	 criminal
Criminal Trespassing After Breaking Down in Car	 criminal
Harassment by Ex-Girlfriend of the Person I'm Dating	 criminal
Battery with Bodily Injury	 criminal
Citation Without Proper Cause	 criminal
Can You Defend Someone Else from Rape	 criminal
Assault with a Deadly Weapon, Potential Charges	 criminal
Engaging in Dangerous Line-Jumping at an Amusement Park	 criminal
Charged With Disorderly Conduct After Pushing a State Trooper	 criminal
Can My Boyfriend Be Prosecuted for Statutory Rape	 criminal
How to Convince the Prosecutor to Drop a Domestic Violence Charge	 criminal
Can You Go to Jail for Impregnating a Minor	 criminal
Can You Be Charged With Shoplifting If You're Not Caught Before Leaving the Store	 criminal
How to Stop Charges from Going to Court Based on Incorrect Reporting	 criminal
Can Stores Use Credit or Debit Card Information to Track Down Thieves	 criminal
Got Caught Shoplifting, No Criminal Charges but Want Me to Come Back Tomorrow	 criminal
Communicating with a Minor	 criminal
Penalty for Second Degree Murder	 criminal
Arrested and Fired After Giving Away Merchandise at Work	 criminal
Obstruction of Justice for Refusing to Allow the Police to Investigate a 911 Call	 criminal
Florida Dating Violence	 criminal
When Can Defendant Make Statement in Criminal Case	 criminal
How to Find Out Who is Making Harassing Phone Calls	 criminal
What Happens if You're Caught Shoplifting at Target	 criminal
Student Caught With Marijuana at School	 criminal
Marijuana and Ecstasy Possession	 criminal
Caught Stealing Perfume Testers, Charged Based on Retail Price	 criminal
Can You Go to Jail for Food Stamp Fraud	 criminal
Can You Get a Civil Demand for Coupon Abuse	 criminal
Defenses to Selling Alcohol to a Minor	 criminal
Ticket Fraud for Public Transportation in Oregon	 criminal
Mounting a LED Blue and Red Lightbar in my Windshield	 criminal
Township Will Not Update Park Laws to Allow Firearms	 criminal
Can You Be Charged With Shoplifting an Item if You Go Back and Pay	 criminal
What Happens After Domestic Violence Charges are Filed	 criminal
Falsely Accused of Stealing After My Friend Wanted to Shoplift	 criminal
Can You Get a Civil Demand if It's Not Mentioned when You're Caught Shoplifting	 criminal
Can You Be Convicted of Possession of Drug Paraphernalia for Possessing a Tourniquet	 criminal
Purchased an Item at a Discount Price, Returned it for a Refund of the Full Price	 criminal
Mentally Ill Woman is Being Used As a Slave	 criminal
Stealing Merchandise from Work	 criminal
Vandalism by Children	 criminal
MIP and Misrepresentation of ID to Get Into a Bar	 criminal
Letting the Air Out of Somebody's Tires	 criminal
Is It Illegal to Look at Screen Shots of Material Obtained by Hackers	 criminal
Ninteen-Year-Old Caught Shoplifting Makeup	 criminal
Is It Illegal for My Apartment Complex to Put a Snow Fine Sticker on My Window	 criminal
Harrassed by a Person Who Lives in Another Country	 criminal
Does First Offense Domestic Violence Require Jail Time	 criminal
Caught in Possession of Xanax After Police Detention	 criminal
Chargeback Reversal After Making a False Statement to the Bank	 criminal
Can You Be Charged With a Crime for Knocking Over Somebody's Motorcycle	 criminal
Prank Calls are Being Investigated as Terroristic Threats	 criminal
Can a Victim Ask for Leniency in a Domestic Violence Case	 criminal
Charged With Trespassing, but the Property Owner Agrees to Drop the Charge	 criminal
Charged With Theft of a School iPad for Not Returning it in a Timely Manner	 criminal
Marijuana Paraphernalia and Possession Charges After a Traffic Stop	 criminal
Taking Somebody's Underwear to be Tested for Stains	 criminal
Is it Legal to Start a Bitcoin Casino	 criminal
Charged with Petty Larceny After Shoplifting With a Friend	 criminal
Do You Have to Pay for a Contest Cup if You Peel Off a Sweepstakes Sticker	 criminal
Fraudulently Returning a Used Item to a Store	 criminal
Ticket for Being in a Park Afer Hours	 criminal
